customer_id,purchase_id,product_category,promotion_applied,promotion_discount
103,1,Clothing,False,0.06387098551697766
436,2,Clothing,False,0.12113515256801403
861,3,Books,False,0.25480764421002555
271,4,Books,False,0.06997342194784022
107,5,Clothing,False,0.2638714886739894
72,6,Electronics,False,0.07297402301927657
701,7,Books,False,0.25861355372292405
21,8,Electronics,True,0.14019710026968168
615,9,Books,False,0.20305226581430397
122,10,Electronics,True,0.08822177891199955
467,11,Electronics,False,0.06654218043129521
215,12,Electronics,False,0.10398455100503377
331,13,Clothing,False,0.08196345447717389
459,14,Electronics,False,0.12810147441990793
88,15,Electronics,False,0.17859581162775506
373,16,Electronics,False,0.19718986589125237
100,17,Books,True,0.2474670268449357
872,18,Electronics,False,0.21405997331208965
664,19,Books,True,0.20218958128238823
131,20,Electronics,False,0.15294550687144365
662,21,Electronics,False,0.1684521087400347
309,22,Clothing,False,0.1536302073475453
770,23,Books,True,0.26054150751534577
344,24,Electronics,True,0.10750011313709996
492,25,Books,False,0.05143023288549116
414,26,Books,False,0.2128299743065598
806,27,Clothing,False,0.10061554590970785
386,28,Clothing,False,0.27252878407745235
192,29,Clothing,False,0.26476158242666403
956,30,Clothing,True,0.06918184298205148
277,31,Clothing,False,0.07659710135351934
161,32,Clothing,False,0.1737928980616666
460,33,Clothing,True,0.20230566569233865
314,34,Clothing,False,0.11872708437056019
22,35,Electronics,True,0.22919942917484265
253,36,Books,False,0.19872900522971787
748,37,Clothing,True,0.13120602743713866
857,38,Clothing,False,0.0563428720105789
561,39,Books,True,0.2375375703246294
475,40,Electronics,False,0.10368841645627068
59,41,Books,False,0.2586184358656571
511,42,Books,False,0.1550725650135638
682,43,Clothing,False,0.19426936065794137
476,44,Books,False,0.2682371826022505
700,45,Books,True,0.26590575022998836
976,46,Clothing,False,0.14287989381089333
783,47,Clothing,True,0.10222222317871078
190,48,Clothing,False,0.24378651943214869
958,49,Clothing,False,0.1582700509005328
687,50,Books,False,0.09801049838975102
958,51,Books,False,0.27610633557928754
563,52,Electronics,True,0.09952604856027185
876,53,Electronics,True,0.05645179204780777
567,54,Books,True,0.055069993441854995
244,55,Electronics,False,0.20557883911356606
832,56,Books,True,0.21541876517938258
505,57,Electronics,True,0.127760426264246
131,58,Clothing,False,0.13000274731176586
485,59,Electronics,False,0.13487347876498568
819,60,Clothing,False,0.22003963668971965
647,61,Clothing,False,0.06453344775670715
21,62,Clothing,True,0.2822790881728314
841,63,Clothing,False,0.10563026104436161
167,64,Electronics,False,0.29991830131052305
274,65,Books,True,0.09288067344679675
388,66,Clothing,True,0.24288661432809439
601,67,Electronics,False,0.10585313623240626
316,68,Clothing,False,0.0702117004108135
14,69,Electronics,True,0.26873333108766223
242,70,Electronics,False,0.26468781479772296
777,71,Electronics,False,0.15089259811240036
346,72,Books,False,0.2255990356351067
565,73,Electronics,False,0.18926648317097927
898,74,Electronics,False,0.2632390284184372
340,75,Books,False,0.12876399232966362
92,76,Books,False,0.18091809999974628
367,77,Electronics,False,0.17134309280113763
956,78,Books,False,0.1384764565642147
455,79,Clothing,False,0.2728637661390931
428,80,Clothing,False,0.09146948116563387
509,81,Books,False,0.08737715988017404
776,82,Books,True,0.19422738383068783
943,83,Electronics,False,0.2143735574962355
35,84,Books,False,0.0986548135811413
206,85,Electronics,False,0.14767936056365605
81,86,Clothing,True,0.2866409607446859
932,87,Books,False,0.1116543556726685
562,88,Electronics,False,0.2170901755293485
872,89,Electronics,True,0.23503734842439772
388,90,Clothing,False,0.1620321748662899
2,91,Books,True,0.28438149668989576
390,92,Clothing,True,0.2341641838046976
566,93,Electronics,False,0.16448114496522448
106,94,Electronics,False,0.19233380044402348
772,95,Books,False,0.22315336085627518
822,96,Electronics,True,0.19804754510730455
477,97,Books,False,0.269674395956519
703,98,Clothing,True,0.1392221655701003
402,99,Books,True,0.12497143501395123
730,100,Books,True,0.10345972237381608
556,101,Electronics,False,0.059445742016148787
162,102,Electronics,False,0.06075349109501384
202,103,Books,False,0.2675137982773207
958,104,Electronics,False,0.21959828660147684
996,105,Electronics,True,0.21513310385912154
270,106,Electronics,False,0.2036607047337215
863,107,Books,False,0.2623047861735262
816,108,Electronics,False,0.17006673141640688
271,109,Books,True,0.26760270713957507
456,110,Electronics,False,0.1398612565455598
462,111,Clothing,False,0.28167687608477265
727,112,Electronics,False,0.22466424502031002
252,113,Electronics,False,0.11429428400610682
702,114,Books,True,0.1910212304221563
296,115,Books,False,0.18325764037206388
725,116,Electronics,True,0.0844747054325835
720,117,Clothing,False,0.19781072643765352
749,118,Electronics,False,0.12869640592923948
338,119,Electronics,True,0.06308719170240061
879,120,Clothing,False,0.2871640394266412
53,121,Books,False,0.21037259226607197
792,122,Electronics,True,0.26922973296771174
922,123,Books,False,0.21901400125331327
217,124,Books,True,0.13924592303502825
764,125,Clothing,False,0.17817201808220284
188,126,Clothing,False,0.21893669008679428
380,127,Books,False,0.2900630813003594
493,128,Electronics,False,0.11341736478042412
41,129,Books,False,0.2687442646560294
157,130,Electronics,False,0.28101945132356737
